mgi_symbol	mgi_description	ensembl_gene_id
Xlr	X-linked lymphocyte-regulated	ENSMUSG00000054626
Ugt2b5; m-1; Udpgt-3	UDP glucuronosyltransferase 2 family, polypeptide B5	ENSMUSG00000054630
Slc8a1; D930008O12Rik; Ncx1	solute carrier family 8 (sodium/calcium exchanger), member 1	ENSMUSG00000054640
Mmrn1; 4921530G03Rik; Emilin4	multimerin 1	ENSMUSG00000054641
Zfp869; 1200003I07Rik; U 2-7-1	zinc finger protein 869	ENSMUSG00000054648
Pm20d2; Acy1l2; LOC242377	peptidase M20 domain containing 2	ENSMUSG00000054659
Ano9; 5430425C04Rik; Tmem16j; Tp53i5; Trp53i5	anoctamin 9	ENSMUSG00000054662
Olfr63; GA_x6K02T2NTC5-9778-8828; M4; MOR267-1	olfactory receptor 63	ENSMUSG00000054666
Irs4; IRS-4	insulin receptor substrate 4	ENSMUSG00000054667
5830411N06Rik; Scart2	RIKEN cDNA 5830411N06 gene	ENSMUSG00000054672
Tmem119; obif	transmembrane protein 119	ENSMUSG00000054675
1600014C10Rik	RIKEN cDNA 1600014C10 gene	ENSMUSG00000054676
Srsf12; Sfrs13b; Srrp	serine and arginine-rich splicing factor 12	ENSMUSG00000054679
Emcn; 0610012K22Rik	endomucin	ENSMUSG00000054690
Adam10; 1700031C13Rik; kuz; kuzbanian	a disintegrin and metallopeptidase domain 10	ENSMUSG00000054693
Ap1s3; Jr2; [s]3A	adaptor-related protein complex AP-1, sigma 3	ENSMUSG00000054702
Ankrd24; 4631433D01Rik; 5730519E19Rik; D10Bur2e	ankyrin repeat domain 24	ENSMUSG00000054708
Zscan22; D530006B18Rik; Hkr2	zinc finger and SCAN domain containing 22	ENSMUSG00000054715
Zfp771; G630024C07Rik	zinc finger protein 771	ENSMUSG00000054716
Hmgb2; HMG-2; Hmg2	high mobility group box 2	ENSMUSG00000054717
Lrrc8c; E430036I04Rik	leucine rich repeat containing 8 family, member C	ENSMUSG00000054720
Vmac	vimentin-type intermediate filament associated coiled-coil protein	ENSMUSG00000054723
1700013H16Rik; Slx2; Xlr6	RIKEN cDNA 1700013H16 gene	ENSMUSG00000054727
Phactr1; 9630030F18Rik; Rpel1	phosphatase and actin regulator 1	ENSMUSG00000054728
Msra; 2310045J23Rik; 6530413P12Rik; MSR-A	methionine sulfoxide reductase A	ENSMUSG00000054733
Zfp182; 6330583I20Rik	zinc finger protein 182	ENSMUSG00000054737
Gm9955	predicted gene 9955	ENSMUSG00000054745
Abca15; 4930500I12Rik	ATP-binding cassette, sub-family A (ABC1), member 15	ENSMUSG00000054746
Fsd1l; A230072O16Rik; Ccdc10; Csdufd1; Fsd1nl	fibronectin type III and SPRY domain containing 1-like	ENSMUSG00000054752
AU018091	expressed sequence AU018091	ENSMUSG00000054753
Akr1c20; 2610528B18Rik	aldo-keto reductase family 1, member C20	ENSMUSG00000054757
Krtap5-2; 4833428E21Rik	keratin associated protein 5-2	ENSMUSG00000054759
Defb42	defensin beta 42	ENSMUSG00000054763
Mtnr1a; Mel1a receptor; MelR	melatonin receptor 1A	ENSMUSG00000054764
Set; 2610030F17Rik; 5730420M11Rik; StF-IT-1	SET nuclear oncogene	ENSMUSG00000054766
Kctd18; 4932411A20Rik	potassium channel tetramerisation domain containing 18	ENSMUSG00000054770
Fgf2os; ; Gm12541	fibroblast growth factor 2, opposite strand	ENSMUSG00000054779
Klhl18	kelch-like 18	ENSMUSG00000054792
Cadm4; Igsf4c; Necl-4; SynCAM 4; Tsll2	cell adhesion molecule 4	ENSMUSG00000054793
Actn4	actinin alpha 4	ENSMUSG00000054808
Usp46; 1190009E20Rik; 2410018I08Rik	ubiquitin specific peptidase 46	ENSMUSG00000054814
1700041G16Rik	RIKEN cDNA 1700041G16 gene	ENSMUSG00000054822
Nsd3; WHISTLE; Whsc1l1	nuclear receptor binding SET domain protein 3	ENSMUSG00000054823
Cyp2c50	cytochrome P450, family 2, subfamily c, polypeptide 50	ENSMUSG00000054827
Elp6; 2610001P13Rik; 2610002I17Rik; Tmem103	elongator acetyltransferase complex subunit 6	ENSMUSG00000054836
Atrnl1; Alp	attractin like 1	ENSMUSG00000054843
Smim10l2a; 6330419J24Rik; Ncrna00086	small integral membrane protein 10 like 2A	ENSMUSG00000054850
Rnd1; A830014L09Rik; Arhs	Rho family GTPase 1	ENSMUSG00000054855
Tafa5; Fam19a5; Tara-5	TAFA chemokine like family member 5	ENSMUSG00000054863
Tmem158; 2310037P21Rik; Ris1	transmembrane protein 158	ENSMUSG00000054871
Pcnx3; Pcnxl3	pecanex homolog 3	ENSMUSG00000054874
4930578G10Rik	RIKEN cDNA 4930578G10 gene	ENSMUSG00000054885
Dsp; 2300002E22Rik; 5730453H04Rik; DP; rul	desmoplakin	ENSMUSG00000054889
Olfr1535; GA_x6K02T2QHY8-11688984-11689964; MOR256-36; MOR256-63; Olfr1365	olfactory receptor 1535	ENSMUSG00000054890
Txk; A130089B16Rik; Btkl; PTK4; Rlk	TXK tyrosine kinase	ENSMUSG00000054892
Zfp667; A830025F02Rik	zinc finger protein 667	ENSMUSG00000054893
Dmac2l; 1110015E18Rik; Atp5s; facyor B	distal membrane arm assembly complex 2 like	ENSMUSG00000054894
Arhgef33; Gm941; LOC381112	Rho guanine nucleotide exchange factor (GEF) 33	ENSMUSG00000054901
Stfa3; Stf3	stefin A3	ENSMUSG00000054905
Wbscr25; ; 4933433J03Rik; 4933439O14Rik	Williams Beuren syndrome chromosome region 25 (human)	ENSMUSG00000054909
4931415C17Rik	RIKEN cDNA 4931415C17 gene	ENSMUSG00000054910
Klhl5; 1300013C10Rik	kelch-like 5	ENSMUSG00000054920
Zkscan4	zinc finger with KRAB and SCAN domains 4	ENSMUSG00000054931
Afp; alpha-foetoprotein	alpha fetoprotein	ENSMUSG00000054932
Kcnmb4; 2900045G12Rik; Slowpoke beta 4	potassium large conductance calcium-activated channel, subfamily M, beta member 4	ENSMUSG00000054934
Olfr1346; GA_x6K02T2QGBW-3203957-3204898; MOR103-6	olfactory receptor 1346	ENSMUSG00000054938
Zfp174; LOC385674	zinc finger protein 174	ENSMUSG00000054939
Olfr137; GA_x6K02T2PSCP-2749525-2748587; MOR256-18	olfactory receptor 137	ENSMUSG00000054940
Miga1; C030011O14Rik; Fam73a; Mita1	mitoguardin 1	ENSMUSG00000054942
5330416C01Rik	RIKEN cDNA 5330416C01 gene	ENSMUSG00000054944
Gm9958	predicted gene 9958	ENSMUSG00000054945
9130008F23Rik	RIKEN cDNA 9130008F23 gene	ENSMUSG00000054951
Gm9959	predicted gene 9959	ENSMUSG00000054957
Nt5c1a; Cn1a; LOC230718	5'-nucleotidase, cytosolic IA	ENSMUSG00000054958
Lmntd1; 4933403M22Rik; Ifltd1; Lmna-rs1	lamin tail domain containing 1	ENSMUSG00000054966
Zfp647	zinc finger protein 647	ENSMUSG00000054967
Nyap2; 9430031J16Rik; Jr6	neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2	ENSMUSG00000054976
Kbtbd13; 5430433E21Rik	kelch repeat and BTB (POZ) domain containing 13	ENSMUSG00000054978
Sec14l3; 1110069O07Rik	SEC14-like lipid binding 3	ENSMUSG00000054986
Agtr1b; Agtr-1b; Angtr-1b; AT1B	angiotensin II receptor, type 1b	ENSMUSG00000054988
AV320801	expressed sequence AV320801	ENSMUSG00000054994
Naaladl1; LOC381204	N-acetylated alpha-linked acidic dipeptidase-like 1	ENSMUSG00000054999
Lrtm2	leucine-rich repeats and transmembrane domains 2	ENSMUSG00000055003
A830031A19Rik; ; LOC268391	RIKEN cDNA A830031A19 gene	ENSMUSG00000055010
Agap1; Centg2; Ggap1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	ENSMUSG00000055013
Gm9961	predicted gene 9961	ENSMUSG00000055015
Cntn1; CNTN; F3cam; usl	contactin 1	ENSMUSG00000055022
Ep300; KAT3B; p300	E1A binding protein p300	ENSMUSG00000055024
Gabrg3; B230362M20Rik; Gabrg-3	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3	ENSMUSG00000055026
Smyd1; 4632404M21Rik; Bop	SET and MYND domain containing 1	ENSMUSG00000055027
Sprr2e	small proline-rich protein 2E	ENSMUSG00000055030
Olfr420; GA_x6K02T2P20D-20995211-20994246; MOR105-10	olfactory receptor 420	ENSMUSG00000055033
Commd5; 2310065H03Rik; D15Ertd81e; Hcarg	COMM domain containing 5	ENSMUSG00000055041
Pdlim1; CLP36; mClim1	PDZ and LIM domain 1 (elfin)	ENSMUSG00000055044
Gm11190	predicted gene 11190	ENSMUSG00000055045
Gm9962	predicted gene 9962	ENSMUSG00000055048
Nfic; 1110019L22Rik; 1500041O16Rik; NF1-C; nuclear factor 1-C2	nuclear factor I/C	ENSMUSG00000055053
4931431C16Rik	RIKEN cDNA 4931431C16 gene	ENSMUSG00000055061
Ddx17; 2610007K22Rik; A430025E01Rik; LOC381024; p72	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	ENSMUSG00000055065
Smyd3; 2410008A19Rik; Zmynd1	SET and MYND domain containing 3	ENSMUSG00000055067
Rab39; C230094F14Rik; Rab39a	RAB39, member RAS oncogene family	ENSMUSG00000055069
Gm9964	predicted gene 9964	ENSMUSG00000055072
Gabra5; A230018I05Rik	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 5	ENSMUSG00000055078
Olfr354; GA_x6K02T2NLDC-33601476-33602429; MOR127-4	olfactory receptor 354	ENSMUSG00000055088
Gm8430	predicted pseudogene 8430	ENSMUSG00000055093
Spink6; EG433180	serine peptidase inhibitor, Kazal type 6	ENSMUSG00000055095
Zfp819; 4930427I11Rik; 4933405K07Rik	zinc finger protein 819	ENSMUSG00000055102
Phxr2; ; SP28	per-hexamer repeat gene 2	ENSMUSG00000055108
Gm15155; ; ENSMUSG00000055109	predicted gene 15155	ENSMUSG00000055109
A630012P03Rik	RIKEN cDNA A630012P03 gene	ENSMUSG00000055110
Anxa13; 1810034H17Rik	annexin A13	ENSMUSG00000055114
Arntl; Arnt3; bHLHe5; Bmal1; MOP3	aryl hydrocarbon receptor nuclear translocator-like	ENSMUSG00000055116
M5C1000I18Rik	RIKEN cDNA M5C1000I18 gene	ENSMUSG00000055125
Cgrrf1; 1110038G02Rik; 1810009H17Rik; CGR19	cell growth regulator with ring finger domain 1	ENSMUSG00000055128
9130017K11Rik	RIKEN cDNA 9130017K11 gene	ENSMUSG00000055134
Sugct; 5033411D12Rik	succinyl-CoA glutarate-CoA transferase	ENSMUSG00000055137
Gm4861	predicted gene 4861	ENSMUSG00000055138
Klf2; Lklf	Kruppel-like factor 2 (lung)	ENSMUSG00000055148
Zfp78; KRAB12; Zfp77	zinc finger protein 78	ENSMUSG00000055150
4930583K01Rik	RIKEN cDNA 4930583K01 gene	ENSMUSG00000055159
Ifng; Ifg; IFN-gamma	interferon gamma	ENSMUSG00000055170
C1ra; mC1rA	complement component 1, r subcomponent A	ENSMUSG00000055172
Cstl1	cystatin-like 1	ENSMUSG00000055177
Fam72a; 2700049P18Rik; P17	family with sequence similarity 72, member A	ENSMUSG00000055184
Rbm3os; ; 2900002K06Rik	RNA binding motif protein 3, opposite strand	ENSMUSG00000055188
Klk15	kallikrein related-peptidase 15	ENSMUSG00000055193
Actbl2; 4732495G21Rik	actin, beta-like 2	ENSMUSG00000055194
Fev; mPet-1; Pet1; Pex1	FEV transcription factor, ETS family member	ENSMUSG00000055197
Gm12830	predicted gene 12830	ENSMUSG00000055198
Sertad3; Rbt1; Sei3	SERTA domain containing 3	ENSMUSG00000055200
Zfp811	zinc finger protein 811	ENSMUSG00000055202
Ankrd17; 4933425K22Rik; A130069E23Rik; Gtar	ankyrin repeat domain 17	ENSMUSG00000055204
Foxd2; Mf2	forkhead box D2	ENSMUSG00000055210
Pld5; B230365F16Rik	phospholipase D family, member 5	ENSMUSG00000055214
9430025C20Rik	RIKEN cDNA 9430025C20 gene	ENSMUSG00000055216
Zfp935; ; 8430426H19Rik	zinc finger protein 935	ENSMUSG00000055228
Wdr86; 2810046M22Rik	WD repeat domain 86	ENSMUSG00000055235
Kcmf1; 1700094M07Rik; clone DEBT-91; Pmcf	potassium channel modulatory factor 1	ENSMUSG00000055239
Zfp101	zinc finger protein 101	ENSMUSG00000055240
Ntrk2; C030027L06Rik; Tkrb; trkB	neurotrophic tyrosine kinase, receptor, type 2	ENSMUSG00000055254
9330161L09Rik	RIKEN cDNA 9330161L09 gene	ENSMUSG00000055271
Tmem245; A630051L19Rik; D730040F13Rik	transmembrane protein 245	ENSMUSG00000055296
Ctsj; Cat P; CATP; CatRLP; Ctsp; rat gene/Cathepsin L-related protein	cathepsin J	ENSMUSG00000055298
Adh7; Adh-3; Adh-3e; Adh-3t; Adh3; Adh3-e; Adh3-t; Adh4; Adt-1; IV ADH	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ENSMUSG00000055301
Mrfap1; 9130413I22Rik; PAM14	Morf4 family associated protein 1	ENSMUSG00000055302
Zfp93	zinc finger protein 93	ENSMUSG00000055305
Them7; 0610012H03Rik	thioesterase superfamily member 7	ENSMUSG00000055312
Pgbd1; 4921509E05Rik	piggyBac transposable element derived 1	ENSMUSG00000055313
Sec23ip; D7Ertd373e; p125	Sec23 interacting protein	ENSMUSG00000055319
Tead1; 2610024B07Rik; B230114H05Rik; Gtrgeo5; mTEF-1; Tcf13; TEAD-1; TEF-1	TEA domain family member 1	ENSMUSG00000055320
Tns1; 1110018I21Rik; 1200014E20Rik; E030018G17Rik; E030037J05Rik; Tns	tensin 1	ENSMUSG00000055322
Gm9967	predicted gene 9967	ENSMUSG00000055323
Fat2; EMI2; Fath2; LOC245827; mKIAA0811	FAT atypical cadherin 2	ENSMUSG00000055333
Snupn; 0610031A09Rik; Rnut1	snurportin 1	ENSMUSG00000055334
Zfp457; Rslcan-6	zinc finger protein 457	ENSMUSG00000055341
4933400A11Rik	RIKEN cDNA 4933400A11 gene	ENSMUSG00000055357
Prl2c5; MRP-4; Mrpplf4; PLF-4	prolactin family 2, subfamily c, member 5	ENSMUSG00000055360
Slc6a2; NE transporter; NET; norepinephrine transporter; Slc6a5	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	ENSMUSG00000055368
Gm9968	predicted gene 9968	ENSMUSG00000055370
Stam2; 1200004O12Rik; 5730456G07Rik; Hbp	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	ENSMUSG00000055371
Fut9; mFuc-TIX; mFUT9	fucosyltransferase 9	ENSMUSG00000055373
Rnf212; EG330157; repro57	ring finger protein 212	ENSMUSG00000055385
Fbxo6; FBG2; Fbs2; Fbx6b; Fbxo6b	F-box protein 6	ENSMUSG00000055401
4933427D06Rik	RIKEN cDNA 4933427D06 gene	ENSMUSG00000055403
Map6; 2810411E12Rik; F-STOP; Mtap6; STOP	microtubule-associated protein 6	ENSMUSG00000055407
Hottip; ; ENSMUSG00000055408; Gm15053	Hoxa distal transcript antisense RNA	ENSMUSG00000055408
Nell1; B230343H07Rik; l7R6	NEL-like 1	ENSMUSG00000055409
H2-Q5; ; H-2Q5; Qa-5; Qa5; Qat-5	histocompatibility 2, Q region locus 5	ENSMUSG00000055413
Atp10b; 5930426O13Rik; 9030605H24Rik	ATPase, class V, type 10B	ENSMUSG00000055415
Fam136b-ps	family with sequence similarity 136, member B, pseudogene	ENSMUSG00000055416
Pcdh9; 1500001L12Rik; A730003J17Rik; C530050I23Rik; C630029H24Rik; LOC382930	protocadherin 9	ENSMUSG00000055421
Gm9970	predicted gene 9970	ENSMUSG00000055424
Nap1l5; 1110020M21Rik	nucleosome assembly protein 1-like 5	ENSMUSG00000055430
Maf; 2810401A20Rik; A230108G15Rik; c-maf	avian musculoaponeurotic fibrosarcoma oncogene homolog	ENSMUSG00000055435
Srsf11; 0610009J05Rik; 2610019N13Rik; Sfrs11	serine and arginine-rich splicing factor 11	ENSMUSG00000055436
A630091E08Rik	RIKEN cDNA A630091E08 gene	ENSMUSG00000055446
Cd47; 9130415E20Rik; B430305P08Rik; IAP; integrin-associated protein; Itgp	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	ENSMUSG00000055447
Gm7353	predicted pseudogene 7353	ENSMUSG00000055452
Gm9972	predicted gene 9972	ENSMUSG00000055456
Alk; CD246; Tcrz	anaplastic lymphoma kinase	ENSMUSG00000055471
Zfp458; Rslcan-7	zinc finger protein 458	ENSMUSG00000055480
Soga1; 9830001H06Rik; D430036N24Rik	suppressor of glucose, autophagy associated 1	ENSMUSG00000055485
Ano5; Gdd1; Tmem16e	anoctamin 5	ENSMUSG00000055489
Pprc1	peroxisome proliferative activated receptor, gamma, coactivator-related 1	ENSMUSG00000055491
Epm2a; laforin; Tg(TcraK,TcrbK)TG-BFlv; TG-B	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha	ENSMUSG00000055493
Gm14168	predicted gene 14168	ENSMUSG00000055494
Gm9974	predicted gene 9974	ENSMUSG00000055497
Vmn2r81; EC1-VR2; pheromone recepter; V2rf2	vomeronasal 2, receptor 81	ENSMUSG00000055515
Gucy2g; 2410077I05Rik; GC-G	guanylate cyclase 2g	ENSMUSG00000055523
Cpsf6; 4733401N12Rik; CFIM68; HPBRII-4; HPBRII-7	cleavage and polyadenylation specific factor 6	ENSMUSG00000055531
Zcchc24; 2310047A01Rik	zinc finger, CCHC domain containing 24	ENSMUSG00000055538
Epha6; Ehk2; Hek12; m-ehk2	Eph receptor A6	ENSMUSG00000055540
Lair1; 5133400O11Rik; D7Bwg0421e; Lair-1; mLair-1	leukocyte-associated Ig-like receptor 1	ENSMUSG00000055541
Timd4; B430010N18Rik; TIM-4; Tim4	T cell immunoglobulin and mucin domain containing 4	ENSMUSG00000055546
Apobec4; 4933431M11Rik	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)	ENSMUSG00000055547
Kxd1; 0610030B01Rik; 2810422J05Rik	KxDL motif containing 1	ENSMUSG00000055553
Ct55; 4930502E18Rik	cancer/testis antigen 55	ENSMUSG00000055555
Zfp459; 9930025G17Rik; Rslcan-14	zinc finger protein 459	ENSMUSG00000055560
Spink5; 2310065D10Rik; LEKT1	serine peptidase inhibitor, Kazal type 5	ENSMUSG00000055561
Unc80; C030018G13Rik; C230061B10Rik	unc-80, NALCN activator	ENSMUSG00000055567
Olfr305; GA_x6K02T2NHDJ-9744055-9745014; MOR219-2	olfactory receptor 305	ENSMUSG00000055571
5530400C23Rik	RIKEN cDNA 5530400C23 gene	ENSMUSG00000055594
Tcp10b; D17Leh66B; D17Leh66ba; T66B-a; Tcp-10b; Tcp-10bt	t-complex protein 10b	ENSMUSG00000055602
Hba-x; zeta globin	hemoglobin X, alpha-like embryonic chain in Hba complex	ENSMUSG00000055609
Olfr307; GA_x6K02T2NHDJ-9772012-9772953; MOR219-1	olfactory receptor 307	ENSMUSG00000055610
Cdca7; 2310021G01Rik; JPO1	cell division cycle associated 7	ENSMUSG00000055612
Olfr636-ps1; ; GA_x6K02T2PBJ9-6724462-6723549; MOR12-2P	olfactory receptor 636, pseudogene 1	ENSMUSG00000055621
B4galnt4; LOC381951	beta-1,4-N-acetyl-galactosaminyl transferase 4	ENSMUSG00000055629
Hmcn2	hemicentin 2	ENSMUSG00000055632
Zfp580; 1500015O20Rik	zinc finger protein 580	ENSMUSG00000055633
Dach1; Dac; E130112M23Rik	dachshund family transcription factor 1	ENSMUSG00000055639
Ubqln5; 4931431F19Rik	ubiquilin 5	ENSMUSG00000055643
Klhl25; 2810402K13Rik	kelch-like 25	ENSMUSG00000055652
Gpc3; OCI-5	glypican 3	ENSMUSG00000055653
Mettl4; 2410198H06Rik; A730091E08Rik; HsT661	methyltransferase like 4	ENSMUSG00000055660
Zzef1; 8430405D05Rik; C130099L13Rik	zinc finger, ZZ-type with EF hand domain 1	ENSMUSG00000055670
Kbtbd11; 2900016B01Rik; 4930465M17Rik	kelch repeat and BTB (POZ) domain containing 11	ENSMUSG00000055675
Gm5069	predicted pseudogene 5069	ENSMUSG00000055676
Ctsr	cathepsin R	ENSMUSG00000055679
Cope; 1110005D17Rik; Cope1	coatomer protein complex, subunit epsilon	ENSMUSG00000055681
Gja6; A530015O12Rik; Cnx33; connexin 33; Cx33; Gja-6	gap junction protein, alpha 6	ENSMUSG00000055691
Tmem191c; 4933405M22Rik; D16Bwg1494e; MNCb-4137	transmembrane protein 191C	ENSMUSG00000055692
4933401B06Rik	RIKEN cDNA 4933401B06 gene	ENSMUSG00000055700
Gm9978	predicted gene 9978	ENSMUSG00000055704
Klhl26; C630013N10Rik	kelch-like 26	ENSMUSG00000055707
Slain1; 9630044O09Rik	SLAIN motif family, member 1	ENSMUSG00000055717
Ubl7; 2300004C15Rik	ubiquitin-like 7 (bone marrow stromal cell-derived)	ENSMUSG00000055720
Rras2; 2610016H24Rik; TC21	related RAS viral (r-ras) oncogene 2	ENSMUSG00000055723
Paqr3; 6330415A20Rik; RKTG	progestin and adipoQ receptor family member III	ENSMUSG00000055725
Ces2a; 9130231C15Rik; Ces6	carboxylesterase 2A	ENSMUSG00000055730
Gm9979	predicted gene 9979	ENSMUSG00000055732
Nap1l3; MB20	nucleosome assembly protein 1-like 3	ENSMUSG00000055733
Ghr; GHBP; GHR/BP	growth hormone receptor	ENSMUSG00000055737
Rtl6; Ldoc1l; Mar6; Mart6	retrotransposon Gag like 6	ENSMUSG00000055745
Magea2; Mage-a2	melanoma antigen, family A, 2	ENSMUSG00000055746
Gsdmc4; 9030605I04Rik	gasdermin C4	ENSMUSG00000055748
Gemin6; 2610019B15Rik; 2810470M17Rik	gem nuclear organelle associated protein 6	ENSMUSG00000055760
Nkain3; E130310K16Rik	Na+/K+ transporting ATPase interacting 3	ENSMUSG00000055761
Eef1d; 1700026P12Rik; 5730529A16Rik	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	ENSMUSG00000055762
Rybp-ps; ; Gm6910	RING1 and YY1 binding protein, pseudogene	ENSMUSG00000055763
Gm7936	predicted pseudogene 7936	ENSMUSG00000055771
Myh8; 4832426G23Rik; MyHC-pn; Myhs-p; Myhsp	myosin, heavy polypeptide 8, skeletal muscle, perinatal	ENSMUSG00000055775
Usp26	ubiquitin specific peptidase 26	ENSMUSG00000055780
Abcd2; ABC39; adrenoleukodystrophy related; ALDL1; ALDR	ATP-binding cassette, sub-family D (ALD), member 2	ENSMUSG00000055782
Ftdc2; E330017A01Rik; Ftdc	ferritin domain containing 2	ENSMUSG00000055789
Gm5160	predicted gene 5160	ENSMUSG00000055795
Tcf7l1; Tcf3	transcription factor 7 like 1 (T cell specific, HMG box)	ENSMUSG00000055799
Fmnl1; 8030453N10Rik; formin-related gene in leukocytes	formin-like 1	ENSMUSG00000055805
Dnaaf3; 6030429G01Rik; b2b1739Clo	dynein, axonemal assembly factor 3	ENSMUSG00000055809
Cldn17	claudin 17	ENSMUSG00000055811
Mta3; 1110002J22Rik	metastasis associated 3	ENSMUSG00000055817
A230083G16Rik	RIKEN cDNA A230083G16 gene	ENSMUSG00000055818
Olfr967; GA_x6K02T2PVTD-33447884-33448816; MOR171-30P	olfactory receptor 967	ENSMUSG00000055820
Tescl; 1700008P20Rik	tescalcin-like	ENSMUSG00000055826
Gsdmc3; 9930109F21Rik	gasdermin C3	ENSMUSG00000055827
1700034H15Rik	RIKEN cDNA 1700034H15 gene	ENSMUSG00000055833
Zfp1; Fnp-1; mkr-1; Zfp-1	zinc finger protein 1	ENSMUSG00000055835
Olfr357; GA_x6K02T2NLDC-33688556-33689482; MOR138-3	olfactory receptor 357	ENSMUSG00000055838
Elob; 0610040H15Rik; 18 kDa, elongin B; Tceb2	elongin B	ENSMUSG00000055839
Rnf181; 1700047F16Rik; 2500002L14Rik; 6230415N01Rik	ring finger protein 181	ENSMUSG00000055850
Izumo4; 9030607L17Rik	IZUMO family member 4	ENSMUSG00000055862
Tafa3; 7530404M11Rik; Fam19a3; Sam3; Tafa-3	TAFA chemokine like family member 3	ENSMUSG00000055865
Per2; mPer2	period circadian clock 2	ENSMUSG00000055866
Gm9985	predicted gene 9985	ENSMUSG00000055872
Foxi3	forkhead box I3	ENSMUSG00000055874
Abhd16b; BC050777	abhydrolase domain containing 16B	ENSMUSG00000055882
Fancm; C730036B14Rik; D12Ertd364e	Fanconi anemia, complementation group M	ENSMUSG00000055884
Ubl4b; 4930522D07Rik	ubiquitin-like 4B	ENSMUSG00000055891
Oosp2; LOC225922; Plac1l; Tmem122	oocyte secreted protein 2	ENSMUSG00000055895
Ppp4r1l-ps	protein phosphatase 4, regulatory subunit 1-like, pseudogene	ENSMUSG00000055897
Tmem69; A630048M13Rik	transmembrane protein 69	ENSMUSG00000055900
Tmem150a; Tmem150	transmembrane protein 150A	ENSMUSG00000055912
Zfp277; 2410017E24Rik; NIRF4	zinc finger protein 277	ENSMUSG00000055917
Aasdh; A230062G08Rik	aminoadipate-semialdehyde dehydrogenase	ENSMUSG00000055923
Gm14137	predicted gene 14137	ENSMUSG00000055926
Fto	fat mass and obesity associated	ENSMUSG00000055932
Oosp3; Gm97; LOC225923	oocyte secreted protein 3	ENSMUSG00000055933
Krt28; 4733401L19Rik	keratin 28	ENSMUSG00000055937
Obox7; Gm4745	oocyte specific homeobox 7	ENSMUSG00000055942
Emc7; 2900064A13Rik	ER membrane protein complex subunit 7	ENSMUSG00000055943
E130018O15Rik	RIKEN cDNA E130018O15 gene	ENSMUSG00000055944
Prr18; 9630019K15Rik	proline rich 18	ENSMUSG00000055945
Gm9987	predicted gene 9987	ENSMUSG00000055958
Skint4; 9530098N22Rik	selection and upkeep of intraepithelial T cells 4	ENSMUSG00000055960
BC051076	cDNA sequence BC051076	ENSMUSG00000055961
Triqk; Gm11818	triple QxxK/R motif containing	ENSMUSG00000055963
Gm9988	predicted gene 9988	ENSMUSG00000055968
Olfr378; GA_x6K02T2P1NL-3586282-3585338; MOR135-2	olfactory receptor 378	ENSMUSG00000055971
